Feature ID	taxonomy	Confidence	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
d09060994015b06cfac0267019e61f66	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH1008828.10FU	0.989848970052012	-	-	-	-	-	-	-	Unassigned	-
303198b3f4c2256f62937fe0023a60dd	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH1008828.10FU	0.990219411369862	-	-	-	-	-	-	-	Unassigned	-
192eb2ce554d1b2e5e7c08135413e10b	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH1008828.10FU	0.989847068572838	-	-	-	-	-	-	-	Unassigned	-
52fea3fdafd83f943df0781dd63bd05c	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH1008828.10FU	0.989853119858448	-	-	-	-	-	-	-	Unassigned	-
721ef500b87c23cffbd6fbb6d4c0677e	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH1008828.10FU	0.9896349962002476	-	-	-	-	-	-	-	Unassigned	-
033cfcbc561a48c9e90698b80b4003a0	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH1008828.10FU	0.9898476466896984	-	-	-	-	-	-	-	Unassigned	-
0a5ed92acf303f626ad32671bf229fd7	k__Fungi	0.7606225019273054	-	-	-	-	-	-	-	Unassigned	-
193903e5856d3f5278d3754801977e6e	k__Fungi;p__Ascomycota	0.799373539472499	-	-	-	-	-	-	-	Unassigned	-
b6a999e3ead792e0540c762bd0dcf384	k__Fungi;p__Ascomycota	0.8173088673491067	-	-	-	-	-	-	-	Unassigned	-
c2e3110ddbcbb3daf4ef5a7d55995254	k__Fungi;p__Ascomycota	0.8174915345932414	-	-	-	-	-	-	-	Unassigned	-
d5510f9042605d0c248dbb190ee77c6f	k__Fungi;p__Ascomycota	0.8172547631087337	-	-	-	-	-	-	-	Unassigned	-
