id,(Intercept),diet_type_sampleNot provided,diet_type_sampleOmnivore but do not eat red meat,diet_type_sampleVegan,diet_type_sampleVegetarian,diet_type_sampleVegetarian but eat seafood
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;__,0.1538825237834449,2.3943156065661113,0.6366178471500519,0.6807482308211015,0.21655828726740925,0.7626418900812411
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_sp,0.16523539622364045,1.0871314167986212,0.37823250910592615,0.8228340904920275,0.2247674282973731,0.3895866016179414
k__Fungi;__;__;__;__;__;__,0.23715451609284402,0.9416795467119589,0.4085151368213726,0.787900327831678,0.6437301230153406,0.8431518178443353
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia_kudriavzevii,0.22995241690605978,0.25538792593799875,0.540173404491027,1.2711263557218104,0.6057688181745786,1.2938358988576986
k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor;s__Mucor_circinelloides,0.11391348305428317,0.2537258160965373,0.22528320034177793,1.6110086247162188,0.19024705590307994,0.2022841409450306
k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp,0.15426878820601791,0.5313638313300204,0.538774207489133,0.7871949869502607,0.3527697570092721,0.43098929783524986
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_cerevisiae,0.19581472658777369,1.3006921959621984,0.5619001185043031,1.2379239903831354,0.2481150293853154,1.2362337526671674
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_sp,0.21697866762155196,1.3040462122529035,0.4839895373891251,0.6464686614771638,0.26513657397849777,0.6020266918093355
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon;s__Trichosporon_asahii,0.19969361351276815,0.3021225701765467,1.3090983874199138,0.22719388343775443,0.5386169775295461,1.121714363187973
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;__,0.1916132410686315,0.2968436327178352,0.272931993154889,0.41152331765198147,0.31502257957643953,0.48460157084176086
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon;s__Trichosporon_ovoides,0.21486729242209168,0.3123595067948089,0.5865641686620645,1.1195308131039166,0.6503947874916072,0.42046370923082566
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_albicans,0.2607752204479251,2.285612317597597,1.167420678034147,1.0199429334944636,1.246910584481927,1.1593983335510216
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Suhomyces;s__Suhomyces_kilbournensis,0.14685523161039782,1.2411641719690254,0.8094297317629324,0.1824992614918883,0.6677082354828952,0.2225062945349053
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_roqueforti,0.22832553131258626,3.4299552935117177,0.9790236766250014,0.7005998931382428,1.1394658323163582,1.0999432356660026
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_tropicalis,0.1431812487367192,0.2681443233076204,0.24140652171074697,0.1795560953672899,0.3163213637881578,0.22009875521255615
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_parapsilosis,0.21388131922006456,1.5394917753659134,0.42146019099432935,1.3738330668690668,1.0898926412298076,0.9859445705262926
