id,(Intercept),bmi_categoryObesity,bmi_categoryOthers,bmi_categoryOverweight,bmi_categoryUnderweight
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;__,0.19340654511743768,0.4536940845516687,0.27622425477917195,0.35992428033663987,0.420590642314141
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_sp,0.20694134375270265,0.5368161636606359,0.2858644206406591,0.25908156062583704,0.3359014267899889
k__Fungi;__;__;__;__;__;__,0.2901005315426836,0.46463559222088957,0.35078777862889265,0.47259453446106126,0.5016468076290822
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia_kudriavzevii,0.2677445813198631,0.8743676414170186,1.516286589295237,0.5217504987072199,0.5186965680662654
k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor;s__Mucor_circinelloides,0.10261873023095094,0.1603392339304152,1.102834379837771,0.2917393150575171,0.8203546693771714
k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp,0.1739416550272411,0.2965955885369818,0.22499582804501897,0.3600246295640037,0.514924158288153
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_cerevisiae,0.22402898319152775,0.6970286258909384,0.2984673056531908,0.39988760483130376,0.937532115061829
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_sp,0.21636880726509952,0.5338891199594725,1.3863044111505178,0.5009863409311744,0.5954598030511912
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon;s__Trichosporon_asahii,0.2323829433762458,0.46442022399417626,0.7716550910414695,0.5463763399201037,0.562897300378122
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;__,0.19973044521684752,0.4767328492384283,0.28068843577989744,0.43840105445482447,0.43925165369750846
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon;s__Trichosporon_ovoides,0.25669838159546243,0.49867052010545593,1.2458479758993428,0.38333880863862785,0.924561987974839
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_albicans,0.3132311630545244,0.8770953796294629,2.2052822377102923,0.552812962390481,0.8741660086253978
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Suhomyces;s__Suhomyces_kilbournensis,0.16310731780109897,0.44891706221389244,0.5571743071820155,0.36644824144394067,0.3058918172713249
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_roqueforti,0.2872480881951667,0.4933441539900397,1.3658071729102783,0.565832920321552,0.4903084883864756
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_tropicalis,0.14063680853711483,0.3367245918577941,0.24222398549596713,0.3427075831068851,0.23082621381955076
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_parapsilosis,0.271747158400979,0.5509077981401048,1.9197416066349478,0.4676956788477616,0.47427853346889265
